,Time,Metric
0.1,43.0938606262207,4034832110262.4126
0.2,90.43091416358948,4032500894489.0186
0.3,133.86981773376465,4040528683424.5825
0.4,176.25868368148804,4041523250159.5913
0.5,217.59154081344604,4043357302696.759
0.6,276.14129877090454,4043598414001.25
0.7,321.25116086006165,4044437262239.3706
0.8,361.3081810474396,4043390696219.36
0.9,401.25805616378784,4044447384943.0205
1.0,450.19110202789307,4045667126818.825
